,state_code,Applicant_Hispanic_or_Latino,Applicant_Not_Hispanic_or_Latino,Co-Applicant_Hispanic_or_Latino,Co-Applicant_Not_Hispanic_or_Latino,No_co-applicant_(Ethnicity),Applicant_Male,Applicant_Female,Co-Applicant_Male,Co-Applicant_Female,No_Co-applicant_(Gender),Conventional,FHA_Insured,VA-guaranteed,FSA/RHS,Failed_to_Qualify,Qualified,Co-Applicant_American_Indian_or_Alaska_Native,Co-Applicant_Asian,Co-Applicant_Black_or_African_American,Co-Applicant_Native_Hawaiian_or_Other_Pacific_Islander,Co-Applicant_White,No_Co-applicant_(Race),Applicant_American_Indian_or_Alaska_Native,Applicant_Asian,Applicant_Black_or_African_American,Applicant_Native_Hawaiian_or_Other_Pacific_Islander,Applicant_White,Average_Loan_000s,Average_Income_000s,Total_Loans,State,Name
0,1,5180,202796,1651,75424,130901,146112,61864,13339,63736,130901,116341,50226,25079,16330,24597,183379,281,1609,5684,173,69328,130901,1090,4339,31064,455,171028,170,86,207976,1,Alabama
1,2,1476,34289,659,14726,20380,25067,10698,3564,11821,20380,17849,7589,8696,1631,2710,33055,784,996,209,191,13205,20380,2958,1715,833,374,29885,273,103,35765,2,Alaska
2,4,79874,340198,30778,166966,222328,295953,124119,35286,162458,222328,253570,110874,47575,8053,40196,379876,1373,7513,3864,992,184002,222328,3563,17110,12661,1910,384828,226,98,420072,4,Arizona
3,5,7847,128982,2584,60314,73931,97800,39029,9816,53082,73931,80397,28396,13056,14980,16691,120138,392,1285,2334,169,58718,73931,991,2878,10759,337,121864,150,86,136829,5,Arkansas
4,6,309361,1048942,151813,525278,681212,986085,372218,133451,543640,681212,956091,292762,97446,12004,149246,1209057,4769,132482,16497,7899,515444,681212,11741,267598,52824,13732,1012408,424,148,1358303,6,California
5,8,42472,360378,17116,174149,211585,281220,121630,42193,149072,211585,274204,76291,46226,6129,32462,370388,1045,7976,3234,677,178333,211585,2746,17018,10529,1437,371120,289,115,402850,8,Colorado
6,9,13674,128170,4721,54609,82514,94452,47392,14402,44928,82514,99754,32479,6773,2838,15729,126115,174,3323,2427,211,53195,82514,448,7631,10539,444,122782,275,127,141844,9,Connecticut
7,10,2565,47715,853,21434,27993,33237,17043,4724,17563,27993,30305,12266,4809,2900,4792,45488,64,961,1871,61,19330,27993,184,2465,7870,139,39622,240,107,50280,10,Delaware
8,11,1670,23978,674,8993,15981,15015,10633,3270,6397,15981,22135,2398,1113,2,2288,23360,33,833,866,38,7897,15981,123,2159,5034,70,18262,479,186,25648,11,District of Columbia
9,12,233632,894759,84420,380293,663678,771904,356487,101566,363147,663678,717639,269572,122100,19080,175029,953362,1490,16544,27508,1825,417346,663678,4850,39105,101409,4101,978926,227,112,1128391,12,Florida
10,13,32476,459087,8524,156800,326239,327726,163837,36874,128450,326239,276688,135569,60391,18915,57748,433815,568,10735,19371,464,134186,326239,2349,35958,104450,1378,347428,209,96,491563,13,Georgia
11,15,2174,45399,963,24254,22356,35789,11784,4852,20365,22356,34023,2517,9075,1958,4533,43040,178,11960,283,2095,10701,22356,474,19368,1148,4036,22547,462,155,47573,15,Hawaii
12,16,7743,112861,3555,63543,53506,89096,31508,10611,56487,53506,77855,25164,12079,5506,10359,110245,370,1098,236,218,65176,53506,855,1795,564,386,117004,191,85,120604,16,Idaho
13,17,71615,506951,23156,218158,337252,399137,179429,51844,189470,337252,411681,124669,27206,15010,67054,511512,570,17632,7864,688,214560,337252,1709,40864,42910,1564,491519,209,105,578566,17,Illinois
14,18,14911,324343,4231,135027,199996,240497,98757,23511,115747,199996,208927,85050,22975,22302,34287,304967,271,3490,3168,237,132092,199996,946,9825,16150,647,311686,155,80,339254,18,Indiana
15,19,6137,165695,2338,81310,88184,119649,52183,18563,65085,88184,130667,21506,9894,9765,16222,155610,222,2129,811,125,80361,88184,617,4437,2883,255,163640,144,84,171832,19,Iowa
